	100418001	100517001	100717001	100818001	101018001	101117001	101218001	101418001	101517001	101618001	101717001	101818001	101917001	102018001	102117001	102218001	102317001	102418001	102517001	200117001	200217001	200317001	200417001	200617001	200717001	200817001	200917001	201017001	201117001	207118001	207218003	207318001	207418001	207518001	207618001	207718001	207818001	207918001	208018001	400318001	400418001	400518001	400618001	400818001	400918001	401018001	401118001	401218001	401518001	402417001	402517001	402617001	402817001	402917001	403017001	403117001	403717001	403817001	403917001	600117001	600218001	600417001	600517001	600817001	601017001	601217001	601317001	601417001	601517001	601617001	602318001	602418001	602518001	602618001	602718001	602818001	602918001	603018001	603118001	800417001	801017001	801217001	801417001	801817001	802118001	802318001	802518001	802718001	802817001	802918001	803017001	803118001	803217001	803318001	803518001	803718001	803817001	803918001	804017001
aminoglycoside	187,670	471,861	299,548	128,487	252,740	243,334	547,851	319,126	898,628	94,404	253,596	140,825	360,427	32,577	161,867	48,302	246,371	16,604	227,555	1187,746	716,303	892,398	514,054	733,991	645,285	236,580	563,329	1016,348	457,042	633,643	907,220	295,936	288,860	341,366	321,203	239,040	243,903	680,829	197,982	1263,381	152,315	1003,411	1058,827	775,572	2590,661	1057,577	1159,951	295,085	192,929	1415,071	1218,287	1684,062	2019,493	1623,951	1383,323	1669,951	1568,039	1359,829	1370,768	603,927	730,489	1018,269	1013,638	1289,165	738,227	1347,543	979,053	740,960	884,421	1075,180	217,225	222,419	645,914	438,252	274,842	216,463	485,350	356,448	329,340	450,172	159,281	522,825	259,366	410,160	95,539	140,774	8,039	86,670	407,281	60,632	376,879	152,913	228,734	368,796	170,840	234,981	227,086	110,385	193,343
"aminoglycoside; quinolone"	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,470	0,650	0,000	0,698	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,554	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
beta-lactamase	157,049	463,614	329,497	127,961	39,358	363,299	474,129	13,974	369,159	67,341	466,875	132,261	303,447	13,865	424,786	7,323	288,622	10,343	273,636	402,988	275,571	348,252	103,753	226,339	249,809	402,946	89,709	131,882	178,892	12,922	371,037	27,298	18,599	505,120	366,903	229,248	299,931	186,770	48,481	229,485	13,912	294,247	147,290	77,050	263,490	235,150	190,957	289,928	75,015	478,558	299,071	493,660	422,848	306,050	419,826	320,029	435,118	476,441	413,192	387,848	582,149	675,533	1004,684	707,525	771,356	442,681	1117,797	963,909	526,363	316,161	30,112	100,895	146,834	66,918	90,734	40,466	209,344	52,339	418,485	363,455	265,787	271,423	330,504	329,290	128,172	184,392	1,481	54,476	230,933	44,215	309,380	44,212	247,485	98,378	46,564	34,300	134,086	195,393	233,221
colistin	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	9,601	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,033	0,024	0,000	11,951	0,075	0,031	0,030	0,000	0,000	0,449	0,099	0,000	0,156	0,281	0,000	0,542	0,000	0,000	0,000	28,514	0,000	0,000	0,000	0,087	0,000	0,000	0,000	0,000	0,000	0,252	0,000	0,055	0,000	0,043	0,168	0,000	0,058	0,077	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
fosfomycin	0,000	0,510	0,000	0,000	0,000	0,283	0,000	0,000	0,903	0,000	0,348	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,722	0,690	0,000	0,517	0,589	1,536	0,584	1,843	0,000	0,000	0,000	0,000	0,000	0,000	0,233	0,116	0,000	0,000	0,203	0,209	0,000	0,000	0,000	0,244	0,497	0,436	0,000	0,000	0,000	0,000	0,000	7,225	0,437	1,341	0,688	0,623	0,482	0,400	0,000	0,000	0,000	4,798	0,000	0,000	0,000	0,000	0,000	1,817	0,000	0,507	1,202	0,000	0,000	2,088	0,000	0,000	0,000	3,170	0,377	0,392	0,000	0,000	0,000	0,000	0,000	0,280	0,000	0,000	0,000	0,000	0,265	0,607	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
macrolide	232,600	1791,499	818,138	295,382	455,807	714,588	333,643	1287,978	1241,063	222,793	527,466	605,968	1292,243	339,510	541,542	370,485	640,874	1316,564	716,639	2526,747	999,289	964,519	514,764	2033,380	1284,246	561,216	1250,027	1038,839	2531,545	1540,866	1072,032	1605,707	1432,651	168,651	122,982	338,185	132,983	293,878	65,829	898,729	1026,827	571,254	595,518	834,738	856,024	662,139	923,190	1516,977	876,562	4406,915	3543,924	4015,648	3378,681	2629,313	2741,945	3016,838	2849,523	3620,139	2540,251	1980,802	572,133	3435,780	2851,499	2990,919	2464,621	3964,200	3588,835	4105,718	2314,324	870,187	842,831	660,813	936,540	1094,502	722,131	1302,824	648,370	1477,947	1029,548	1065,229	383,626	1170,420	761,702	777,839	122,506	136,025	33,678	70,356	1980,564	281,007	1166,976	105,754	1969,076	1825,105	72,591	1501,735	570,926	88,954	413,763
"macrolide; oxazolidinone; phenicol"	0,000	0,000	0,000	0,000	0,000	0,000	0,048	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,064	0,056	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,037	0,000	0,041	0,000	16,329	0,000	0,052	0,050	0,000	0,561	0,000	0,331	0,000	0,000	0,000	0,000	0,000	0,162	1,648	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,284	0,168	0,053	0,287	1,110	1,062	0,713	0,620	0,133	1,269	0,901	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
nitroimidazole	0,000	22,596	28,820	0,000	0,146	20,083	0,000	0,000	35,550	0,000	18,712	0,000	29,752	0,000	14,755	0,923	10,575	0,122	19,484	19,289	27,758	66,808	20,945	7,806	3,492	21,850	15,897	4,467	8,832	0,000	0,186	1,058	1,138	1,214	0,000	0,000	0,000	0,000	0,000	0,325	0,000	0,000	0,000	0,000	0,126	0,000	0,645	0,986	0,000	14,227	11,063	111,930	34,093	26,871	35,754	46,652	18,506	29,265	24,743	103,132	0,499	63,629	50,276	45,647	44,857	73,579	58,070	50,573	72,825	26,395	0,175	0,000	0,000	0,000	4,288	0,186	0,000	5,877	0,185	7,254	7,922	25,201	14,668	16,075	0,209	0,150	0,000	0,121	7,685	0,000	6,722	0,815	15,360	0,000	0,000	0,000	5,405	0,000	15,278
"oxazolidinone; phenicol"	0,028	0,000	0,000	0,000	0,049	0,000	0,023	0,000	0,000	0,023	0,063	0,025	0,000	0,022	0,000	0,000	0,051	0,000	0,000	0,000	0,000	0,000	0,094	0,054	0,151	0,000	0,077	0,000	0,000	0,000	0,054	0,282	0,000	0,000	0,000	0,000	0,023	0,076	0,000	0,192	0,000	0,053	0,020	0,056	50,659	0,120	0,251	0,167	0,023	62,270	0,091	0,558	0,122	0,251	0,000	0,264	0,073	0,156	0,132	0,172	0,025	0,000	0,000	0,159	0,140	0,000	0,000	0,067	6,208	5,176	0,000	0,000	0,000	0,000	0,034	0,054	0,032	0,047	0,062	0,000	0,000	0,000	0,000	0,000	0,314	0,000	0,000	0,000	0,096	0,000	0,000	0,029	0,196	0,420	0,049	0,368	0,000	0,000	0,000
