Sample	farmid	ReadPairs	BacterialPairs	country	type	AMU	Biosecurity_total	Biosecurity_external	Biosecurity_internal	age_sampling	average_total_animals_present	sows_per_year	duration_fattening_period	average_weight_slaughter	duration_cycle	total_resistance
200117001	2001	33863603	4303480	A	PigFeces	16,2	71	75	66	154	834	394	84	NA	NA	9152,3014
200217001	2002	40542581	4501457	A	PigFeces	6,6	76	78	74	194	3274	674	110	NA	NA	6691,391
200317001	2003	28465988	3496223	A	PigFeces	11,2	74	83	66	205	3170	170	110	NA	NA	7418,6094
200417001	2004	64174417	12010933	A	PigFeces	2,0	64	84	45	224	6500	593	205	NA	NA	5612,4189
200617001	2006	70108910	10539210	A	PigFeces	2,6	67	69	66	169	950	394	95	NA	NA	7502,714
200717001	2007	60621393	7493460	A	PigFeces	10,4	68	78	58	180	1200	148	170	NA	NA	6156,4737
200817001	2008	47103071	5313698	A	PigFeces	6,2	60	62	58	191	2040	140	123	NA	NA	3007,8502
200917001	2009	74249595	14772731	A	PigFeces	4,4	72	88	57	198	2999	1375	110	NA	NA	3989,7744
201017001	2010	34986699	7887746	A	PigFeces	1,5	75	77	73	175	3000	1350	110	NA	NA	4284,1276
201117001	2011	45767104	5819665	A	PigFeces	8,7	74	81	68	182	8287	2050	105	NA	NA	8261,4486
207118001	2071	51461022	18532787	A	PoultryFeces	27,7	66	76	42	35	70000	NA	NA	2400	41	3024,6816
207218003	2072	44858611	20881765	A	PoultryFeces	22,1	69	79	46	32	78000	NA	NA	2000	39	3925,4819
207318001	2073	43899814	22061788	A	PoultryFeces	0,0	74	81	59	35	75200	NA	NA	1900	35	2630,4732
207418001	2074	45067137	18012117	A	PoultryFeces	18,0	70	78	50	32	31500	NA	NA	2100	29	2649,1476
207518001	2075	51137534	30723722	A	PoultryFeces	7,1	69	79	46	32	17200	NA	NA	2000	38	2270,2284
207618001	2076	190784955	117166089	A	PoultryFeces	9,4	74	80	62	33	37000	NA	NA	2100	35	1544,4878
207718001	2077	45336545	22485854	A	PoultryFeces	0,0	83	89	69	19	240000	NA	NA	2155	33	1487,7011
207818001	2078	48980949	24993953	A	PoultryFeces	0,0	83	89	69	20	240000	NA	NA	2155	34	1562,003
207918001	2079	51117418	22448195	A	PoultryFeces	0,0	83	89	69	20	240000	NA	NA	2155	34	2031,4179
208018001	2080	51134746	21187863	A	PoultryFeces	0,0	77	89	50	24	52000	NA	NA	1550	31	777,3469
800417001	8004	46766398	5319721	B	PigFeces	16,3	68	84	53	135	4200	500	60	NA	NA	5239,4618
801017001	8010	62503108	9542819	B	PigFeces	6,9	51	81	22	130	3870	400	100	NA	NA	2548,3636
801217001	8012	55270967	6203675	B	PigFeces	4,7	54	69	44	165	2203	140	80	NA	NA	4891,9168
801417001	8014	62433593	7217848	B	PigFeces	11,6	51	63	39	140	1950	170	65	NA	NA	3635,0853
801817001	8018	44014307	5251335	B	PigFeces	52,5	58	74	42	182	3890	250	70	NA	NA	4017,1939
802817001	8028	53385905	5907878	B	PigFeces	21,0	67	79	56	112	3407	560	77	NA	NA	4649,9373
803017001	8030	87631469	10232567	B	PigFeces	21,3	67	84	51	160	5704	550	81	NA	NA	4678,064
803217001	8032	47852669	5783756	B	PigFeces	1,2	59	68	51	150	1817	150	70	NA	NA	4617,4454
803817001	8038	46892032	5916460	B	PigFeces	13,4	59	65	53	165	2120	130	75	NA	NA	2519,0254
804017001	8040	39895565	5938734	B	PigFeces	26,2	65	73	58	161	2417	152	77	NA	NA	2868,462
802118001	8021	39002082	16216549	B	PoultryFeces	0,0	72	78	58	32	27600	NA	NA	2185	34	844,0643
802318001	8023	51672907	22645567	B	PoultryFeces	0,0	67	79	40	27	67400	NA	NA	2200	35	1086,0342
802518001	8025	46900831	28016746	B	PoultryFeces	0,0	79	87	58	25	39900	NA	NA	2100	35	96,5225
802718001	8027	52011303	24922687	B	PoultryFeces	0,0	68	73	57	17	40700	NA	NA	2200	35	570,0028
802918001	8029	36985241	18155610	B	PoultryFeces	0,0	65	74	44	31	33400	NA	NA	2100	36	1065,5038
803118001	8031	47677411	19823393	B	PoultryFeces	0,0	65	76	41	28	144000	NA	NA	2100	36	727,9882
803318001	8033	44745289	13476136	B	PoultryFeces	0,0	62	73	37	26	126000	NA	NA	2700	33	3657,637
803518001	8035	43173116	23270583	B	PoultryFeces	0,0	68	67	72	26	37300	NA	NA	2200	35	427,586
803718001	8037	42912427	13827136	B	PoultryFeces	30,3	71	77	56	30	34900	NA	NA	2249	38	2552,113
803918001	8039	50116947	28238971	B	PoultryFeces	0,0	65	68	58	23	25600	NA	NA	2200	37	820,6405
402417001	4024	53074224	6294630	C	PigFeces	42,1	72	83	61	180	1700	225	117	NA	NA	11336,7683
402517001	4025	44656151	6245459	C	PigFeces	108,9	70	82	59	180	1800	250	115	NA	NA	8728,9438
402617001	4026	60478788	7099709	C	PigFeces	92,7	68	79	57	170	1750	200	110	NA	NA	11527,5605
402817001	4028	43783138	4632393	C	PigFeces	29,5	76	81	70	165	5560	2560	140	NA	NA	12408,569
402917001	4029	33828698	4516419	C	PigFeces	89,2	67	72	62	180	4660	2850	105	NA	NA	9701,5394
403017001	4030	38812609	4983654	C	PigFeces	111,6	64	66	62	165	4200	1200	97	NA	NA	9668,3358
403117001	4031	54636407	6437652	C	PigFeces	52,1	62	63	62	180	1653	750	150	NA	NA	10757,2494
403717001	4037	60783543	7757121	C	PigFeces	29,9	74	74	74	165	6000	1250	140	NA	NA	9681,6969
403817001	4038	48168003	7276715	C	PigFeces	61,5	72	74	69	180	2376	650	147	NA	NA	9994,6963
403917001	4039	29955633	4283376	C	PigFeces	58,6	64	68	61	180	1150	600	145	NA	NA	9092,9006
400318001	4003	46468411	20675475	C	PoultryFeces	2,9	71	68	78	39	24000	NA	NA	2700	46	3120,988
400418001	4004	58993606	31440612	C	PoultryFeces	25,6	63	66	56	39	21930	NA	NA	2700	46	3035,1007
400518001	4005	43272564	21298949	C	PoultryFeces	9,5	63	66	56	39	21930	NA	NA	2700	46	2476,9667
400618001	4006	55628110	28878544	C	PoultryFeces	30,8	50	52	43	36	22440	NA	NA	2700	47	3057,3259
400818001	4008	56762894	20220318	C	PoultryFeces	11,2	63	66	57	37	114141	NA	NA	2600	49	2640,0581
400918001	4009	58834619	26874442	C	PoultryFeces	9,5	68	66	73	44	35000	NA	NA	2600	50	6257,7841
401018001	4010	50249252	18810997	C	PoultryFeces	20,3	72	75	64	41	105000	NA	NA	2700	47	2983,8983
401118001	4011	59896655	22519833	C	PoultryFeces	18,6	54	53	55	41	31919	NA	NA	2600	47	3541,3392
401218001	4012	38950457	23689336	C	PoultryFeces	9,1	55	55	54	38	60000	NA	NA	3000	44	3151,9757
401518001	4015	50473725	24171975	C	PoultryFeces	20,5	63	67	53	29	90000	NA	NA	2600	41	1833,5353
600117001	6001	84523584	9863943	D	PigFeces	8,2	82	85	79	236	8400	650	165	NA	NA	7071,4985
600417001	6004	56276566	4505822	D	PigFeces	5,4	71	62	80	280	6500	353	150	NA	NA	10995,4155
600517001	6005	63247554	6100130	D	PigFeces	19,0	42	49	35	320	12000	733	200	NA	NA	10467,6344
600817001	6008	69520529	7113880	D	PigFeces	30,4	39	50	29	280	650	310	185	NA	NA	12430,8184
601017001	6010	82368954	8058796	D	PigFeces	74,1	63	65	62	280	10500	935	185	NA	NA	8870,9898
601217001	6012	57931260	6986391	D	PigFeces	17,3	67	65	69	195	10538	647	90	NA	NA	10585,7751
601317001	6013	96549995	6939021	D	PigFeces	16,0	79	81	77	270	5500	450	170	NA	NA	11412,0332
601417001	6014	74842583	8467173	D	PigFeces	19,4	78	83	72	235	2970	240	192	NA	NA	11054,3999
601517001	6015	93326670	8290490	D	PigFeces	42,3	56	62	51	278	25000	2614	195	NA	NA	7820,0225
601617001	6016	109877116	13987932	D	PigFeces	13,4	47	55	40	285	3800	220	195	NA	NA	5718,7433
600218001	6002	47697815	22330944	D	PoultryFeces	50,4	78	82	70	46	38000	NA	NA	2750	54	3843,2406
602318001	6023	44691830	22234884	D	PoultryFeces	121,0	72	75	64	45	25000	NA	NA	2550	60	2358,6221
602418001	6024	48199576	24595748	D	PoultryFeces	9,5	86	88	79	43	40000	NA	NA	2800	49	1906,2497
602518001	6025	51595303	12716800	D	PoultryFeces	0,0	82	87	69	34	88800	NA	NA	2100	46	3630,8024
602618001	6026	54105807	21052696	D	PoultryFeces	16,3	85	84	89	36	50000	NA	NA	2100	44	3521,398
602718001	6027	48906516	16505065	D	PoultryFeces	16,3	84	89	73	48	155000	NA	NA	2300	51	2291,2604
602818001	6028	48544106	20884185	D	PoultryFeces	3,8	76	85	55	34	40000	NA	NA	2300	41	2505,3525
602918001	6029	46848820	17733487	D	PoultryFeces	23,0	83	88	72	42	25000	NA	NA	2400	46	2906,102
603018001	6030	42995613	12048278	D	PoultryFeces	28,3	80	87	64	38	52000	NA	NA	2300	47	3712,97
603118001	6031	42267365	18289440	D	PoultryFeces	25,6	84	88	75	44	32000	NA	NA	3300	53	3411,5035
100517001	1005	69793380	6091316	E	PigFeces	0,0	62	64	60	165	3700	285	107	NA	NA	7087,4549
100717001	1007	81003845	7060614	E	PigFeces	2,0	83	85	81	196	12000	1210	131	NA	NA	4091,9119
101117001	1011	99488231	10966941	E	PigFeces	0,0	72	87	57	165	3507	480	110	NA	NA	4201,3216
101517001	1015	66360367	4655662	E	PigFeces	3,7	61	72	51	175	7796	775	112	NA	NA	8133,3958
101717001	1017	67922863	8929446	E	PigFeces	0,0	79	75	84	165	22621	541	105	NA	NA	3450,1721
101917001	1019	112347561	9673100	E	PigFeces	2,1	75	67	83	172	4037	295	111	NA	NA	6208,3479
102117001	1021	81610824	10976442	E	PigFeces	0,0	65	64	66	189	2219	230	140	NA	NA	3136,8271
102317001	1023	107809624	11019732	E	PigFeces	0,0	72	71	74	178	3400	245	110	NA	NA	3737,9707
102517001	1025	85094500	10235999	E	PigFeces	0,0	49	55	44	180	1851	150	110	NA	NA	3526,1286
100418001	1004	41660294	19943993	E	PoultryFeces	0,0	61	65	54	30	195000	NA	NA	2065	37	1427,2227
100818001	1008	42532826	25397833	E	PoultryFeces	0,0	56	66	31	36	155000	NA	NA	2200	38	1264,9786
101018001	1010	41531664	23196355	E	PoultryFeces	0,0	65	74	44	36	59000	NA	NA	2400	36	1691,8589
101218001	1012	44102986	24588698	E	PoultryFeces	0,0	74	80	62	35	200000	NA	NA	2400	36	2930,0822
101418001	1014	40650104	23973414	E	PoultryFeces	0,0	62	71	40	42	111000	NA	NA	2250	40	2081,2715
101618001	1016	48081555	24980964	E	PoultryFeces	6,8	62	72	39	36	115000	NA	NA	2650	37	1261,5125
101818001	1018	39006174	22996824	E	PoultryFeces	0,0	56	67	32	30	154000	NA	NA	2100	34	1542,3283
102018001	1020	42556965	26332259	E	PoultryFeces	0,0	66	72	52	37	160000	NA	NA	2500	40	1113,4045
102218001	1022	41755581	24763053	E	PoultryFeces	18,0	69	77	52	39	94000	NA	NA	2400	37	775,7298
102418001	1024	45007603	28006455	E	PoultryFeces	0,0	60	66	46	37	46250	NA	NA	2495	44	1657,3701
